defn,strategy
curse:all-the-things,default
curse:acp,default
curse:advancedinterfaceoptions,default
curse:atlas,default
curse:atlas-battlegrounds,default
curse:atlas-classicwow,default
curse:atlas-dungeon-locations,default
curse:atlas-transportation,default
curse:atlaslootclassic,default
curse:atlaslootclassic_maps,default
curse:atlas-quest-fan-update,default
curse:auctioneer,default
curse:bagnon,default
curse:blizzmove,default
curse:classiccastbars,default
curse:dbm-voicepack-yike,default
curse:deadly-boss-mods,default
curse:dbm-pvp,default
curse:decursive,default
curse:dejaclassicstats,default
curse:dismounter,default
curse:fishing-buddy-classic,curse_latest_beta
curse:fizzle,default
curse:gathermate2,default
curse:grail,default
curse:group-calendar-for-classic,default
curse:handynotes,default
curse:handynotes-travelguide-classic,default
curse:handynotes_dungeonlocations-classic,default
curse:handynotes_npcs-classic,default
curse:honorspy,default
curse:itemrack-classic,default
curse:mbb-classic,default
curse:mapster,default
curse:monkey-buddy,default
curse:monkey-quest,default
curse:monkey-speed,default
curse:myslot,default
curse:opie,default
curse:omni-cc,default
curse:pawn,default
curse:prat-3-0,default
curse:quartz,default
curse:questie,default
curse:recount,default
curse:scrap,default
curse:tellmewhen,default
curse:threatclassic2,default
curse:itemlevel-anywhere,default
curse:tinytooltip,default
curse:titan-panel-classic,default
curse:tomtom,default
curse:tradeskill-master,default
curse:tradeskillmaster_apphelper,default
curse:unitframesplus,default
curse:wim-3,default
curse:weakauras-2,default
curse:ora3,default
curse:tullarange,default
wowi:24083-critsound,default
wowi:24977-trinket-menu-classic,default
