defn,strategy
curse:ace3,default
curse:ace-gui-3-0-shared-media-widgets,default
curse:drdata-1-0,default
curse:drlist-1-0,default
curse:herebedragons,default
curse:libalts-1-0,default
curse:libbossids-1-0,default
curse:libcandybar-3-0,default
curse:libchatanims,default
curse:libcompress,default
curse:libcustomglow,default
curse:libdbicon-1-0,default
curse:libddi-1-0,default
curse:libdeflate,default
curse:libdialog-1-0,default
curse:libdogtag-3-0,default
curse:libdogtag-unit-3-0,default
curse:libdropdown-1-0,default
curse:libdurability,default
curse:libgetframe,default
curse:libgraph-2-0,default
curse:libitemupgradeinfo-1-0,default
curse:liblatency,default
curse:liboo-1-0,default
curse:libqtip-1-0,default
curse:librangecheck-2-0,default
curse:librealminfo,default
curse:libsharedmedia-3-0,default
curse:libsink-2-0,default
curse:libspellrange-1-0,default
curse:libuidropdownmenu,default
curse:libwindow-1-1,default
curse:utf8,default
