defn,strategy
curse:all-the-things,default
curse:achievementsreminder,default
curse:acp,default
curse:advancedinterfaceoptions,default
curse:atlas,default
curse:atlas_arena,default
curse:atlas-battle-for-azeroth,default
curse:atlas-battlegrounds,default
curse:atlas-burningcrusade,default
curse:atlas-cataclysm,default
curse:atlas-classorderhalls,default
curse:atlas-classicwow,default
curse:atlas-dungeon-locations,default
curse:atlas-legion,default
curse:atlas-mistsofpandaria,default
curse:atlas-outdoor-raids,default
curse:atlas-scenarios,default
curse:atlas-transportation,default
curse:atlas-worldofdraenor,default
curse:atlas-worldevents,default
curse:atlas-wrathofthelichking,default
curse:atlasloot-enhanced,default
curse:atlasmajorcities-enhanced,default
curse:atlas-quest-fan-update,default
curse:auctioneer,default
curse:bagnon,default
curse:battle_pet_breedid,default
curse:blizzmove,default
curse:btw-objective-filter,default
curse:btw-quests,default
curse:btw-quests-battle-for-azeroth-prologue,default
curse:btw-quests-classic,default
curse:btw-quests-legion,default
curse:button-forge,default
curse:tomcats-tours-childrens-week,default
curse:crit-sound-isler,default
curse:dbm-voicepack-yike,default
curse:deadly-boss-mods,default
curse:dbm-archaeology,default
curse:dbm-bc,default
curse:deadly-boss-mods-cataclysm-mods,default
curse:dbm-challenges,default
curse:deadly-boss-mods-dbm-event-sound-pack,default
curse:deadly-boss-mods-dbm-legion,default
curse:deadly-boss-mods-mop,default
curse:deadly-boss-mods-dbm-dungeons,default
curse:dbm-pvp,default
curse:dbm-timeless-isle,default
curse:deadly-boss-mods-wod,default
curse:deadly-boss-mods-wotlk,default
curse:decursive,default
curse:dejacharacterstats,default
curse:fastercamera,default
curse:fishingbuddy,default
curse:fishing-buddy-tracking,default
curse:garrison-mission-manager,default
curse:gathermate2,default
curse:gathermate2_data,default
curse:gladiatorlossa2,default
curse:gladiatorlossa_zhcn,default
curse:gladius,default
curse:grail,default
curse:handynotes,default
curse:handynotes-broken-shore,default
curse:handynotes-suramar-and-shalaran-telemancy,default
curse:handynotes-battle-for-azeroth-treasures,default
curse:handynotes_lostandfound,default
curse:handynotes-visions-of-nzoth,default
curse:handynotes-warfront-treasure,default
curse:handynotes_argus,default
curse:handynotes_azerothstoptunes,default
curse:handynotes_draenortreasures,default
curse:handynotes_dungeonlocations,default
curse:handynotes_hallowsend,default
curse:handynotes_lunarfestival,default
curse:handynotes_summerfestival,default
curse:timelessislechests,default
curse:handynotes-warfrontrares,default
curse:handynotes_legionrarestreasures,default
curse:itemrack,default
curse:mbb,default
curse:mapster,default
curse:master-plan,default
curse:mik-scrolling-battle-text,default
curse:mogit,default
curse:monkey-buddy,default
curse:monkey-quest,default
curse:monkey-speed,default
curse:mythicplustimer,default
curse:npcscan,default
curse:tomcats-tours-noblegarden,default
curse:opie,default
curse:omen-threat-meter,default
curse:omni-cc,default
curse:pawn,default
curse:pettracker,default
curse:prat-3-0,default
curse:quartz,default
curse:raidachievement,default
curse:raidachievement_oldmodules,default
curse:raidachievement_wod,default
curse:range-display,default
curse:rarity,default
curse:relicinspector,default
curse:rematch,default
curse:scrap,default
curse:simulationcraft,default
curse:skada,default
curse:tellmewhen,default
curse:itemlevel-anywhere,default
curse:tinytooltip,default
curse:titan-panel,default
curse:titan-panel-currency,default
curse:titanrep,default
curse:titan-simulationcraft,default
curse:tomcats,default
curse:tomcats-complete,default
curse:tomcats-tours-hallows-end,default
curse:tomcats-tours-love-is-in-the-air,default
curse:tomcats-tours-lunar-festival,default
curse:tomcats-tours-warfronts-command-center,default
curse:tomtom,default
curse:tradeskill-master,default
curse:tradeskillmaster_apphelper,default
curse:unitframesplus,default
curse:vuhdo,default
curse:wim-3,default
curse:weakauras-2,default
curse:wholly,default
curse:world-quest-tracker,default
curse:world-quests-list,default
curse:ora3,default
curse:tullarange,default
wowi:11361-overachiever,default
