defn,strategy
curse:ace3,default
curse:ace-gui-3-0-shared-media-widgets,default
curse:drdata-1-0,default
curse:drlist-1-0,default
curse:herebedragons,default
curse:libaboutpanel,default
curse:libalts-1-0,default
curse:libbabble-boss-3-0,default
curse:libbabble-creaturetype-3-0,default
curse:libbabble-faction-3-0,default
curse:libbabble-inventory-3-0,default
curse:libbabble-itemset-3-0,default
curse:libbabble-race-3-0,default
curse:libbabble-subzone-3-0,default
curse:libbars-1-0,default
curse:libbossids-1-0,default
curse:libcandybar-3-0,default
curse:libchatanims,default
curse:libcompress,default
curse:libddi-1-0,default
curse:libdeflate,default
curse:libdialog-1-0,default
curse:libdogtag-3-0,default
curse:libdogtag-stats-3-0,default
curse:libdogtag-unit-3-0,default
curse:libdualspec-1-0,default
curse:libdurability,default
curse:libgraph-2-0,default
curse:libgroupinspect,default
curse:libitemupgradeinfo-1-0,default
curse:libnotify-1-0,default
curse:liboo-1-0,default
curse:libpetjournal-2-0,default
curse:libqtip-1-0,default
curse:librangecheck-2-0,default
curse:librealminfo,default
curse:libsharedmedia-3-0,default
curse:libsink-2-0,default
curse:libspellrange-1-0,default
curse:libtextdump-1-0,default
curse:libtoast-1-0,default
curse:libtourist-3-0,default
curse:libuidropdownmenu,default
curse:libwindow-1-1,default
